label,review
0,想不通想不通[抓狂]警察说车子过期一个月未年检，所以要罚款，我认罚；警察说未按时年检车子现在就不能开，所以要拖车，我认拖；警察说当天不能受理，所以隔日取要交停车费，我认交；想不明白的是，TMD隔日去交通队缴了罚款停车费拖车费后，车子成安全了？有罚单护佑，车子就可保安全地开去验车[怒]
1,[嘻嘻] //@??湖SKY:厚道//@笑话伤不起:抄作业不怀疑对方做得对错是抄作业的基本道德。...
0,回复@sweet棉宝宝:南三环也禁不起大雨，平方还是太多呀。尤其拆迁区的电是隐患[衰] //@sweet棉宝宝:南三环有点大 //@胃怀天下:回复@苏格拉卡:这雨是怎么来的？目前得知西边、房山、青龙峡三个方向雨都很大，东南二环一般。北四环附近依旧平静[晕]  //@苏格拉卡:西边门这边现在下的非常大，大家注意点儿
1,那我从艺外去长洲岛不用开车了！ //@杨山:@situ熊爷 @戴远程 ... //@高军:准备全羊宴[哈哈]
1,雨后上海闲逛到8号桥，街区旁的小小创意园区，却格外精致，品位，各有特点；相比帝都的艺术园区更爱这种设计！不得不赞！改天背相机去凹[嘻嘻][嘻嘻]今晚最幸福是一根香蕉味的宾格瑞[馋嘴] 我在:http://t.cn/zYgwueK
0,头疼的厉害还要多久告诉我时间我忍[抓狂] 我在:http://t.cn/zWdabHf
1,[嘻嘻][嘻嘻]好的呀~~我们酒店一定不会让您失望的~~ //@牧羊人:回复@天津海河英迪格酒店Indigo:我已是starwood和renaissance会员，有机会的话去你家体验比较一下。
0,可??:??的?要睡著，一?炸雷?我劈精神了，?尼?什麽?奏啊？！?不?老娘睡啊到底。都是眼?，??的。。。[泪][泪][泪][抓狂][抓狂][抓狂][怒][怒][怒]
0,回复@菜青虫-Mandy:谁这么大胆啊[偷笑] //@菜青虫-Mandy:我奉献的并不是我获得的[泪]
1,北京海淀雅乐轩5周岁了！与喜达屋一起成长是件很幸福的事[爱你]
1,不错不错哦，等着我休息的作品哦，哈哈[哈哈]
0,今天嗓子痛，@莫华璋Frank_Mok 跑到我这来告状：“你们同事买了润喉糖，我说吃一颗，她脱口而出是给宋总买的[晕]我说宋总又吃不了一包[哼]”哈哈[偷笑]谢谢@范冰心Jamee
0,内心真正的强大才能直面自己最深的伤疤，看得好难过[泪] //@马伊?:小时候一听谁家父亲有外遇而离婚，我就会想像自己爸爸若有一天带个坏女人回来，我一定怎么踹她掐她拿刀剁她，谁也不许欺负妈妈！ //@六六:最赞同第四条。 //@媒体人肖执缨: 好文章???轻松幽默的笔下是一颗被父亲伤透的心。[泪]
1,漂亮[花心] //@新浪娱乐: #央视春晚# 上主菜前还不忘秀个美腿~[哈哈]
0,今天中国游泳队太帅了！好消息一个接一个啊！！[给力]直播的时候，激动得我呀！！！[可怜][泪][奥运金牌]
0,【早安】炎炎夏季已过，凉风习习的秋天亦末[微风]。“秋令进补，冬令打虎”，洒家一定要弥补因为夏日和北京“短秋”而丢失的营养[抓狂]。老几位，眼见秋风一天近似一一天，来一锅热乎乎的火锅，暖心又暖胃的涮起来吧！走起[起亚律动]！
0,中国的工业设计者是奇葩。一个插头占两个插孔位置的也罢了，居然有一个占三的！这咋想的！！[怒]
1,《Aloha 夏威夷----双面娇娃欧胡岛》来了！[爱你]
1,我不是女?丝[嘻嘻]
0,回复@艾姆威辟二三:剁碎了喂狗 //@艾姆威辟二三:剁小鸡鸡 //@易游天下国旅周军:[衰]
0,来盘母爱! //@王小禅:师傅啊！您也要多保重！  //@黄靖源胜利 :[泪][泪][泪]  //@王小禅 :回复   @六间房刘磊  :兄，难道情况相同？[泪]  //@六间房刘磊  :[鼓掌] [泪] 泪奔  //@王小禅  :真的？[泪]   //@猫啦007  :我已泪奔
1,那就看呗！[哈哈]
0,回复@安生113:他们生了你，爱你是自然的[呵呵]。天下的父母爱孩子是从内心深处的，有的时候表现不同而已 //@安生113:我爹娘从来不记得我生日，这怎么说呢？[泪]
0,尤其第一张图 好心疼[泪]
1,[鼓掌] //@斗品茶业一武夷山://@直指武夷山下:@武夷山云河漂流 @庚歌微电影李军 @快乐的武夷山 @南平微新闻 @山中一仙 @ 斗品茶业一武夷山@野山狐儿
1,[鼓掌]瓶瓶出美女更出才女 //@BTV悦悦:?
1,"回复@五月香的微博:[嘻嘻] //@五月香的微博:这么多瓶子，这是要做多少呀！ //@玩美煮艺:回复@兴川川菜馆:橘子?是冬季,要按?令作? //@兴川川菜馆:好耶！！我喜欢橘子酱[馋嘴]"
0,总觉得好像哪里不对劲…... [衰](图/@毛毛是小型食肉型动物)
1,理应当是我们环秀2012年度最佳温泉控~[鼓掌]
1,真心不错，美文。推荐！！//@李洁-alina:[爱你][爱你]不错不错~~ 美文配美图，期待下集//@海洋国旅-自游海洋: 不错哦，介绍的很详细，期待下集哦~！ @独独独__特 //@海岛智囊团:第一次写长微博，主要是为了更多的介绍一下 绝对的海岛。大家多多支持
1,[害羞] //@cynthia麦:@EmingSt [嘻嘻]//@艾琳楼: 我错了[害羞]
0,[可怜]2妮也让你好好养身体听到没有//@李斯丹妮:啊……祝何老师生日快乐 长生不老 越来越年轻啊  对不起 对不起 迟来的祝福 [泪] 原谅我 还有就是刘小忻啊 好好养身体啊 你是人不是铁 ok？谢谢你的祝福
1,第一份作业哇[鼓掌][鼓掌]怎么样，大半夜闻到枣香hold得住么[偷笑]
1,1314[爱你]
0,绿豆糕今早断货了[泪]玉米汁可甜了，那个沐浴露味道特清爽全是俺家的好东西太会买了[嘻嘻][嘻嘻]
0,[挖鼻屎]我一直在买。。。@魔王1987 //@五花兔: [抓狂]
1,[哈哈]//@廖敏Maggie: 特好奇的还有L为何读＂挨撸＂ //@沈宏非: C读＂塞＂、F读＂挨腐＂、H读＂挨耻＂，N读＂恩＂、V读＂威＂...这个是广院统一教出来的吧？一直很好奇依据是啥。
1,【雷锋福利中奖名单】本周举行的微博活动得到了大家的广泛支持，感谢大家的积极参与。以下是活动中奖名单。同时也可以在雷锋网微信后台回复“福利”查询中奖结果。敬请关注我们的更多活动！[爱你] 中奖的朋友快到微信后台把你们的地址私信给我们吧！
1,不是物质的问题，是夸张的问题，自己写短片剧本，镜头感真强啊，这是要拍电影[泪]//@binshen:找个更物质的撬了她准老公呗[嘻嘻]
0,为了赶驾校的班车，来了个千米冲刺，气喘吁吁，满头大汗，真是老了！[泪]
0,在新春之际，谢绝所有贱夫妇@我的家庭幸福贴[怒]姐连男友都没租到，正养精蓄锐回家接受众多七大姑八大姨的眼光与话语[汗][浮云][浮云][浮云] //@黄玉浩:我体现了一个天才必备的白痴素质[兔子]
0,@红眼犀牛 和@段2 都搬走了，偌大的三室一厅，仅剩寡人一个了！品尝孤独寂寞的时刻来临了！！  [抓狂] [抓狂] [抓狂] [抓狂] [抓狂] [抓狂]
0,航空餐对比@mimosa99 @柳漂漂姐 @咆哮的鸵鸟 @lynnyouyou [晕]
0,耳畔响起大学一同班哥们儿的叹息：以为你很复杂，没想到这么傻......//@土豆火锅韩:@?? @judyg的遐想 @阿拉锅 @海宁的海宁 @王晟Daisy [泪]
0,连锁餐饮目前开店、必须快速集客、降低培养期、相关费用能压死你、要开就开有质量的店吧、开发部门的黄金期没有了、奖励不会太好了、责任要契约承担了。[泪]
1,今天天气真是好呀~少女节~带上她/他/它去来市中心逛逛吧！[嘻嘻]首都大很懂爱~优惠房掉下来！[转发]
1,爱你们！[爱你][围观][给力]
1,可不就是这个道理么 //@幸福加肥猫: 哈哈！治愈系！[哈哈] //@刘恺威:好像是有?道理... // @王骁很娱乐 :太牛x了。就这个道理！
1,对滴[嘻嘻][嘻嘻]//@哈雷天文:是不是福建产的那个系列的奔驰MPV？//@袁启聪:埃尔法比塞纳豪华得多得多得多[发红包][发红包][发红包]//@libra_zhou:艾尔法就算了，塞纳可以考虑下[哈哈]
0,[抓狂]好热好热！
1,[哈哈][哈哈][握手][握手]//@叫我刘彦冰:局长真是妙//@九江旅游杜少华:[赞]//@92双子猪:过年的时候还去了呢~用投币望远镜俯瞰了下。不错[good]
1,好几天没正儿八经发微博了，忙着招呼朋友、看亚洲青年艺术现场???明天又出发自驾旅行了，到时又有大量美景美图奉上[嘻嘻]，朋友们就期待下吧。#穷游云南#
0,我也想要，我都没有呢～[泪]//@干小鱼儿:那小黄人水壶，我爱环球影城想买没来得及买，你帮我搞一个啊。。。
0,[泪]过年前的crazy shopping，现在是到还债的时刻了！真是天文数字啊！[汗]
1,旅?法?定不能零??，索??就想到旅?法了[哈哈]看??上撒?倒地嚎哭、喊口?、找特首之??，真心??
1,够狠……[哈哈][偷笑]
0,包裹山。才包了一半……[泪][泪]亲们别慌啊…
0,[失望][??]//@荔枝人民的好公仆: [泪]
1,潘多拉的宝盒，快快打开[哈哈]
0,二师兄你快点啊！[衰]//@曹臻一 ：厦门的猪头已经发出
0,不停地喝水可以浇灭重感冒嘛？！[熊猫][晕][抓狂]
0,[泪] 早知道不看微博，不去计算人品了。唰唰的眼泪。
1,敬佩！我相信你们都会被自己感动//@喜欢奇怪的人: [话筒][给力][给力][给力]//@文可真人: 敬请扩散！[鼓掌]//@新华爱基会张君达: 转发微博
0,你俩的互动太欢乐了，今天我也当了一回二师兄。@刘烨 //@流浪的猫猫9:回复@刘烨:我有说过孙。。。。。孙。。。吗？[泪] //@刘烨:二师兄，保护好师傅！
0,节操碎一地啊！[晕] //@金小雷:太没节操了…[衰]
1,回复@star_sun82:自己学了半天，没消化，没实践，就接着教下一代。。。中国教育30年没培养出一个大师，都是近亲下的，出才怪那。。。 //@star_sun82:子子孙孙，无穷匮也[哈哈]
1,明天傍晚青岛飞海口  大鹏视线飞抵海南 天涯海角 阿弥陀佛  [哈哈]
1,[鼓掌] 丹霞山行最佳微相册！http://t.cn/zROMCLZ
1,应该不成问题[嘻嘻]//@我是你们的毓儿: @高晓攀 @文静nicai @嘻哈包袱铺筱雅 哈哈我要大学卡！！！[爱你][爱你][爱你][爱你][馋嘴][馋嘴][做鬼脸]
1,是猫[鼓掌] //@撷芳主人:如果不是这个→ [抓狂]，那就应该是这个→[笑哈哈]
1,顽皮的猫咪[嘻嘻]
0,你骗我，我到楼下了，除了一阵凉风，一个人都没有，更别说大波的[泪] //@王小菊:当然，听我的没错的，不信你问内谁谁谁！不想给蟑螂人工呼吸的话就速度点，美女都是稍纵即逝滴～[偷笑]时不我待！// @朱武平- : [哈哈]真的不， // @王小菊 :赶紧关掉微博，出门！麻溜儿的！出门就能碰到一个大波美女晕倒
1,我擦...这哥们简直是替天行道，为民除害啊[鼓掌]
1,[哈哈][哈哈][哈哈][爱你]//@肥凤: 霸气侧漏[威武]@奥黛丽-东冬
1,[话筒]“民以食为先”讲的虽是普通百姓的市井生活，但这组甜品融中华之文化大成，巧做“笔、墨、纸、砚”与几款传统民俗小食，以精妙的手法，绝佳的形制，惟妙惟肖的表现了甜品的形。“福、禄、寿、喜”四字更寄托了主创者对大家的美好祝愿[可爱]#2012洲际酒店集团厨艺大赛#
0,[泪]很感动。 //@李轶武://@Daisy-Zhu: [爱心传递]//@Utata:这才是文明啊~~ 柔和正面的表达，这样的环境下，小孩心理一定很健康//@人称小毅_也叫老毅: [good]爱是通往幸福的唯一路径
0,没救了，回家就宅了整整两天，睡得全身上下酸痛无比，不晓得是不是生病了，喉咙痛得吞口水都痛，颈子也痛，脑壳也痛，好无语…[抓狂][抓狂][抓狂]
0,什么啊这是？//@北京全攻略: [衰][衰][衰]这是什么水？！？ [吃惊] [吃惊] [吃惊]
0,回复@俞小西xixi:对啊。转发起来吧！这种行为我接受不了。商家太过分了！ //@俞小西xixi:啊…好吧…再也不去了！话说…你们去吃火锅了[泪]
1,求中奖//@常有才姐: @姜小强- @弓长键 @??磊 @yifeipan //@邓昭明: 比摇号几率大[鼓掌]
1,还有比这更牛逼的嘛[哈哈] //@薛炜Edge：@耗子是中国超人 下次年会你跳这个。
1,应该做一个青岛到银川的旅游线路[嘻嘻]
0,回复@如如不动如山:好多地方我真想春暖花开再去一遍。[泪] //@如如不动如山: @娜小鱼儿 //@未未未影: @小花盆
1,"老板我们都好久没看到了//@商旅顾问-王源: 回复@独守清江:我到那找老板提你行吗?就说杨个哥让我检查菜品质量来了[哈哈]千万别给我打折,别宰我就行. //@独守清江:回复@商旅顾问-王源:还真让你说着了，不是股东胜似股东。望京一号试菜品鉴名单上就有我，因当时在成都故而未遂。相信我没错的。 //@独守清"
1,开吃啦~[亲亲]
1,我觉得这个好像你[嘻嘻]@ilovemint
0,//@抹茶冰块:[泪]//@重口怪咖:[泪]
1,#阳#阳阳强烈要求除上课上学之外，跟他一律讲上海话，莫非受萨刺激咧[思考]听着他的洋泾浜，看着他一边说一边揣摩的表情，搞笑[哈哈]
0,你说说你。。。[怒]今天才晴了一天而已。。。
0,么么，你是大美妞！记得想我哈！[泪][爱你][亲亲][心]
1,@黄夕倍就是黄嘘嘘  支持西部花儿//@CDTV小溪Taurus：[鼓掌]西部花儿最牛
1,小咪的创作灵感和激情来源于生活呀！我女儿伟大！[鼓掌][鼓掌][鼓掌][爱你][爱你][爱你]
0,yeah ~ 哈哈//@忐忑的玉兔:[泪]背影是我
1,[话筒]通知：【3月28―31日 2013第88届 春季全国糖酒会 成都举行】会议主题为“展示、交流、合作”，展览总面积达13万平方米，参展企业近3000家，预计至蓉参会客商将达到15万人。预祝顺利开展！[鼓掌][围观][围观]@CASTEL葡萄酒 @上海卡聂高红酒葡萄酒
0,老有所养，老有所依。[泪]
0,饿。。。[泪]
0,一声娘叫得我热泪盈眶！[心] 还送我新疆特产，大过节的该是娘请你们吃才是！[泪][泪]受之有愧啊！娘爱看你写的微博一一不一般！绝不一般！[爱你]
1,#晒幸福 全家福# 宝宝的梦想，可爱到爆！！！[哈哈]http://t.cn/zOQthSY @张斌的博客@江南老徐
1,【图标的微观世界，从符号学说起】在信息簇拥繁多的当下，你是否困扰于诸多雷同元素带来的视觉疲劳？或是在操作界面的过程中面对各种视觉符号茫然无措？让我们一起来探索符号学视角下的图标设计，深入而不失理性地解读图形界面中的微观世界。[可爱] http://t.cn/S6Zfmp #CDC原创博文# @xbells
0,//@费尔巴哈式寂寞: //@吴法天:你们够了！公知都被你们玩坏了！你们考虑过薛蛮子的感受吗？！//@平民王小石: 公知们的苦闷和失落都写在脸上…[衰]//@梦遗唐朝:哈哈哈哈哈哈，气死都德的文章啊
0,劳命伤财，费时费力，以后不做了，只明天限量供应[抓狂][抓狂][抓狂]
1,就要回北京了，吃早餐时想起念@DAZZLINGCAFE玳思琳 的下午茶，蜜糖吐司果然是名媛最爱，还好有朋友帮忙订位吃到上海没有的新款式噢[哈哈]蜜糖快来北京开店吧[害羞]
0,要捍?核心?值?最核心的核心?值，不容易，?此忙了一?上午[悲伤]
0,"回复@最爱我的小豹子:哈哈! 泰服的确很有特色哦! 穿起来整个人会变的很有气质![太开心] //@最爱我的小豹子:好美,杰西家乡的传统服装很挑身材的,当年我1尺9的小腰肯定美美的,不过,今天………[泪]。杰西,你还是不要让你太太过早生小孩了。"
1,心情很down，可是有亲 @小汪淼淼又称Tabo酱 请看电影，感觉好多了，[爱你][爱你][爱你]
1,很开心@?明?明 当年首唱了《春秋/幸福有多远》，也喜欢她唱这首歌的现场[心]姐姐加油喔，感冒赶快好，期待在@我是歌手 接下来的表现！[鼓掌]//@碧朱: 《幸福有多远》就是《春秋》啊，@查可欣 是词曲作者呀哈哈。[可爱]
0,?熄了我去JW狂克牛排的??。。。[泪]
0,//@冷笑话选极:侩子手[怒骂] [鄙视]
0,郭庄，姓郭的大宅子，典型的苏州园林建筑，精致小巧，但处处皆景色。它的后院有一湖水--西湖。[泪]以前的大户人家就是这么奢侈的。
0,该有多大的怨气呀![衰]
0,回复@马赛克打格子丶:右边算是看热闹不嫌事儿大么[晕]//@马赛克打格子丶:终于知道走回家得多久了@谎伴-
0,求知道前面到底发生了什么，堵了仨小时没动了[泪] 我在:http://t.cn/8Fa8ur6
0,在某位童鞋的利诱下 偶又了个大糯米糕 嗨 我是得运动多久才行呀[泪]
1,[哈哈] //@haollee:喜欢 //@鹏飞的甜点日记:转发微博
1,[心][心][心]hello Harbin!~[太开心]
0,为什么总给我定位到大连[哼]我在北京[抓狂]@今日头条
0,原来腌火腿长这样啊，不要吃了不要吃了?[泪][泪]
0,可是，这是谁在现场拍摄的呢？有想办法阻止过吗？[怒]//@编辑段洁: 这他妈还是人么？ //@王臣:人肉之后就地正法。
0,家里的普洱、铁观音均告罄，断顿啦！[泪][泪][泪][泪][泪]
1,哈哈，算，当然算！[哈哈]
0,人才[衰]
1,今晚很开心 应该说每次迈进青聪泉的门就感到心情愉悦 祝愿青聪泉和聪聪[兔子]一样茁壮成长ps.两个月不见聪聪兔怎么长那么大了[鼓掌]//@青聪泉陈洁:今晚来了好多朋友啊
0,//@叶文的一叶无话: 9月17日是甲午战争期间中日大东沟海战的纪念日....别说这一天，就是整个甲午战争，又有多少国人还记得？反正100多年了，名为爱国实为卖国的傻逼，居然比清朝还多！看来天下确实太平久矣，各路妖孽滋生，这两天居然打着旗扯着嗓上了街了[怒骂]
1,译妈妈v5，#好男儿#好样儿的！很有意义的镜头，好想早点在电视上看到可爱敬业的译妈妈。[给力][爱你]
0,赴考途中，乌黑乌黑的天，起好早[泪]
0,[衰]我说我怎么一直单身呢...拿到房卡的瞬间我的心都石化了，关键是不能换房间...好吧！我认命了！我光棍，我骄傲。[威武]阿克苏的朋友给我推荐几个当地美食吧，我今晚去吃给...[嘻嘻]@阿克苏发布 @阿克苏日报社  http://t.cn/zONSZiL
0,怎么没有我？[抓狂]
1,这个一定要收藏~~ [爱你]
0,姐，感情儿大雨里腿儿回来的不是你啊！不吐槽睡不着啊！！//@风华正胖: 就是就是，蛋定，明白吗？牛公主。//@张晓蕊rry2: 在帝都多年，还这么不淡定。洗洗睡吧 //@茉莉香片1982:姐你这不是安慰，这是刺激[抓狂]//@风华正胖: 我是多么的英明神武啊，进门后十分钟方听到雷声，二十分钟左右听雨声。//
1,我要有只喵也把它打扮成这样?[哈哈][哈哈][哈哈]
1,莲子和莲藕本是同根生，相煎何太急呢，就算我答对吧//@权金城-美食达人:少个莲子 //@陈玉霞博斐秀禾:我猜猜：莲藕、菱角、茭白//@于亚婷微博:快揭晓答案吧，一会河里的螃蟹都爬出来了，哈哈@风吹麦浪自然香 //@权金城-美食达人:不敢恭维 //@于亚婷微博:甲鱼，小龙虾，泥鳅，怎么样，靠不靠谱[哈哈][哈
0,选题啊选题！[抓狂]
0,我在看《不肯去观音》。感动。[泪]
1,@QQ第五代 @veniciazhao @小饭碗FF ：周末快乐！[嘻嘻]
1,吴总：你是在朝鲜吗[哈哈] http://t.cn/zWZEYhE
1,上午在腾讯网听了关于微信的介绍，感叹了一番科技进步的妙处，晚上就首次尝试用微信回了邮件，非常方便哟！看来还是得跟上时代的步伐呀，亲～[太开心]
0,回复@伟伟的玲玲:我也是[泪] //@伟伟的玲玲:重点不在坐到哪了，而是第一第二，没有坐过，直接跳到第三开始。[泪]
0,//@不老传奇之道尔吉: 一直张嘴看完的，不是一般的??????牛逼//@图雅宝贝：帅死了 //@郭亚佳:太牛了//@夏至-小雨：好美好美 //@小S:好有美感！ // @舒淇 :??奏?真不是普通抓得好呀~~?~~// @大S ：玄！太玄啦！ // @余文? :太...太...太利害了!!!! 大家一定要看~ so coolllllll[抓狂] [抓狂]
0,呵呵！哦啦！ //@麻坛一姐V:回复  @三样菜帮主 :[泪]哪天王菲去你必须告诉我哦 // @三样菜帮主 :回复  @麻坛一姐V :哈哈！他现就在二楼的三星照！可惜你就今天没来！[偷笑][偷笑]
0,@黄珏JJ 咱们三里屯买过![晕] //@慕睿衡:@summer晓雪
0,简直就是深秋感觉，冻得要零散了。[泪]
0,说得好，老公上！[太开心] //@only唯一哥:弄死他们，给脸不要脸[怒] //@Nikki南芳:来十瓶[怒] //@粥粥游:自从我吃了盖中盖，心情舒畅了，大姨妈正常了，连小人都没了。。亲，你还在等神马？
1,把杨五捐到日本吧 //@一号掌门:学生的心声![偷笑] //@nukgnay:他妹的 //@一号掌门: @拜仁铁狮21 @nukgnay [嘻嘻]
1,#舌尖上的中国# 莲藕排骨汤。抱着一颗感恩的心我也炖了一锅莲藕汤。配料有龙骨一斤、莲藕一节、莲子一把、姜和黄酒，放在砂锅里慢慢熬，一直熬到满屋子香气加盐就上桌喽。@红烧肉传奇餐厅 馋了不 [哈哈] @不合群的动物 你现在是不是可以吃些清淡的肉食了？试试这个莲藕汤吧，很滋补的。
1,老虎童鞋看见美女表现的不是内么疯疯癫癫了，很绅士！[哈哈]@李亚红 Lucy
0,//@杨扬Yael:大家有钱出钱有力出力帮这些孩子过个安全温暖的冬天吧[泪][泪]
1,转给泰星迷[兔子]微信泰国13日北京时间18：00?19：00开放泰国九星对聊 加微信帐户TheStarToday 参与 [爱你]
0,这么用心的报名表，看的小编眼泪哗哗的！[泪] 这么可爱的宝宝，看的小编心里暖暖的！[呵呵]
0,取景还不收钱，群众演员绝对也够数//@王利芬://@连鹏:欢迎生化危机摄影组来北京取景[嘻嘻][抓狂] //@拉姆赫斯的左眼日记:这景象――拍生化危机7都不用电脑了。宅着，也是一种健康生活方式。
1,给吃货当爸爸真悲催[嘻嘻]
1,这个是在说我们吗？[哈哈][害羞]//@我的名字招谁惹谁了: 天天上榜，你让元芳情何以堪啊。问都没法问了。@秀出中国好味道 @微美食
0,要注意啊//@冰冰蛇:真什么都有啊[衰] //@博士大虾郑磊: //@李正曦Sissi:[衰] //@樊德安: [吃惊]//@马楚旭: //@深圳广电集团第一现场: 请?民朋友留意!
1,居然这么能喝！还剩一个半、把它喝掉把它喝掉！[哈哈][哈哈][哈哈][哈哈][哈哈]
1,回复@-王小疯-:下次过来做给你吃[爱你]必须刚出炉的那种[哈哈][哈哈] //@-王小疯-:看着不错，我想吃[馋嘴]
1,老刘给力 //@刘志雄Jason:今天要发的新版就支持iPhone5 //@李笑来: 呃……怎么还不支持iPhone 5啊？//@车库咖啡: 恭喜！ //@刘志雄Jason:好狗狗身边App在苹果App Store首页直接推荐，[哈哈] [哈哈] [哈哈] @车库咖啡 @车库咖啡会员俱乐部
1,今天是个好日子，天天都是好日子。[可爱][抱抱]
1,想玩儿股，反被股玩儿。//@小地喽?子:[哈哈]
0,小辉煌讲：侯凯死了…妈的，我的同学啊，二十几岁…@大凉妹妹：也是你同学…[泪]
1,哈哈哈，很有趣。//@万小刀: 东鞋（烂皮鞋）西毒（独胶囊）南地（地沟油）北钙（三鹿高钙奶），四大武林高手，重出江湖。这视频太搞笑了[哈哈]
0,挺好的安排。  //@沉小鱼儿：mark上，将来照此训练，就最后一条我们家没草地给他修[失望] //@微博搞笑排行榜:美国孩子家务清单。[good]
0,意识形态高于一切！媒体力量高于一切！[汗][泪][抓狂][睡觉][偷笑][生病] //@正义的大公://@新周刊: 华商报记者@王歪 ＆《环球时报》英文版记者@张治龙GT
0,[蜡烛]//@徐德亮:[蜡烛]//@王菲cnr: [蜡烛] //@宋晓阳:[蜡烛]//@Pireo徐力: [蜡烛] //@王群6868:[蜡烛] //@洋子yoyo:[蜡烛][蜡烛] //@豆球斗: [蜡烛][蜡烛] //@仲夏夜之星RR:[泪]//@牛小熊0508: @六爷有文凭 [蜡烛][蜡烛][蜡烛]//@叽叽歪歪的空间:[蜡烛][蜡烛][蜡烛]//@和乐妈妈:[蜡烛][蜡烛][蜡烛]
1,大家猜猜看这是什么花，品种叫什么。答对奖励瓷娃娃一对~[嘻嘻]小提示:花开放在7月10日左右哦。
0,您眼神还真犀利~ //@PhilsonCold:奎爷。。。 //@小妖娜娜:现在似乎懂点了~[思考]  //@刘波BOB://@小妖娜娜:[衰] 额，没懂啊。。 //@六翼61:战神大战刺客信条 谁最牛X啊@小妖娜娜
0,怎么这么困[晕]迷离了！
0,冷漠比愤怒更可怕！//@中国沧桑:面对丑恶，集体沉默！制造丑恶者是无赖，沉默者是无耻！[怒骂]
1,栽下梧桐树，引来金凤凰~~[心][可爱]
1,回复@皇家驿栈刘少军:我们共同期待[爱你] //@皇家驿栈刘少军: 二十九！[握手] //@皇家驿栈刘少军:没有文字美，不如照片炫，但求无愧心！谢谢你们！[心][心][心] //@杨迪的甜筒乐园:最美在皇家，最炫在驿栈。
0,相约2013！[心] //@会飞的叶子Eva:有机会带我们去你美丽的家乡好吗？@背光的屋 //@杰尼妈妈JanarSlanbek:想念家乡阿勒泰的蓝天白云了！[泪]
